"site","Bog_marsh","Brownfield","Built.up","Decidious_forest","Grassland","Grassland_agri","Heathland","Orchard","Park","Pine_forest","Plantation","Shrub","Valley_forest","Arable"
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,0.00891645459398888,0,0.0278789567560492,0.408175856122229,0,0,0,0,0.00869730181711616,0.011652859754399,0,0.534678570956218
3,0,0,0.00863744612399479,0,0.019275186841096,0.161930387063344,0,0,0,0,0.00666146374276666,0.00173644848983713,0,0.801759067738962
4,0,0,0.0996067180842176,0.00692324935752282,0.0242311088661195,0.127263071199524,0,0.228315271825918,0.025708312495722,0,0.0293469794494966,0.0367568611724922,0,0.421848427548987
5,0,0,0.0290130745568808,0,0,0.134675748351758,0,0.495068237915668,0,0,0.00719332832828234,0.285531448487149,0,0.0485181623602621
6,0,0,0,0,0,0,0,0,0,0,0,0.0239787617634385,0,0.976021238236562
7,0,0,0,0,0.000612998399470343,0.0264743073636914,0,0.0076506066462448,0,0,0,0,0,0.965262087590593
8,0,0,0,0.00504402158158425,0.00230182313711879,0.0196422446887411,0,0.024119576294532,0,0,0,0.0194648745178852,0,0.929427459780139
9,0,0,0.13919596942289,0,0,0.166977095687363,0,0.0447380409658069,0.00353899016345617,0,0.0191216889575596,0.00942913787409975,0.0155676653915027,0.601431411537322
10,0,0,0.0458225102232292,0,0.00256340626901009,0.0358396689441531,0,0.353962752002457,0,0,0.0198218472796298,0.00397871352458416,0,0.538011101756937
11,0,0,0.0196960153352881,0,0.000250758176168951,0,0,0.842563910055638,0,0,0.0410602096091686,0.0297109242989687,0,0.066718182524768
12,0.00772174738885411,0.00210736638497318,0.00166628868967262,0.0174598754203651,0.00597666764235886,0.0372750508935022,0,0.0192045915707284,0,0.0012178493341541,0.12672370549086,0.0108879232492899,0.0679616840264055,0.701797249908836
13,0,0,0.210055972429788,0.0124014084541112,0.00376497467420954,0.112011257845437,0,0.187199412100396,0.0229038890170682,0.00127505937925372,0.0056396427410787,0.0126753926241339,0,0.432072990734524
14,0,0,0.320426334608665,0.00116486714711293,0,0.0934879941373482,0,0.168715007725509,0.0119009843662472,0,0.031846582770426,0.005065593170647,0,0.367392636074045
15,0,0,0.0753028366566397,0,0,0.0505281446945972,0,0.0273865340403127,0.020351394932677,0,0.00024939531824293,0.00889772961354146,0,0.817283964743989
16,0,0,0,0,0,0,0,0,0,0,0,0.00172607122592308,0,0.998273928774077
17,0,0,0.189319141513174,0,0,0.111579267322356,0,0.0261036237852466,0.0100979327143809,0,0,0.0261036237852466,0,0.636796410879596
18,0,0,0.0741483507782855,0,0.0219992794449203,0.0905139286124226,0,0.428068190797178,5.87070338694228e-06,0,0,0.010218070159619,0,0.375046309504187
19,0,0,0.224645135015394,0.118436515876306,0,0.025756655464367,0,0.329493232608943,0.113945742468321,0,0,0,0,0.187722718566669
20,0,0,0,0,0,0,0,0.363757552219765,0,0,0,0,0,0.636242447780235
21,0.069410806819376,0,0,0.26127205860545,0,0,0,0.0651740349470159,0,0,0.30989117737243,0,0,0.294251922255728
22,0.0102233081813318,0,0,0.0187982101394175,0,0.028742573898665,0,0,0,0,0.0800926492088033,0.0174171269380064,0,0.844726131633776
23,0.0702670319055397,0,0,0.167095972444356,0,0.107423680789814,0,0,0,0,0.0390507447465869,0.0260380741508351,0,0.590124495962868
24,0,0,0,0,0,0,0,0,0,0,0,0,0,1
25,0,0,0,0,0,0,0,0,0,0,0.0745609162118311,0.00274372109671957,0.0386521297513724,0.884043232940077
26,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27,0,0,0,0,0,0,0,0,0,0,0,0,0,1
28,0,0.00171369786490922,0.0666645517870166,0.038752534716654,0.000468901934436884,0.205293470619006,0,0.148052776610599,0,0,0,0,0,0.539054066467378
29,0,0,0.0239299162188953,0.159351104016554,0.00127211515179981,0.517985967578445,0,0.065586671427734,0,0,0,0,0,0.231874225606572
30,0,0,0,0.218322539658794,0,0.781677460341206,0,0,0,0,0,0,0,0
31,0,0.00606513419757499,0.0194534529340065,0.173707105988704,0.00572845890200225,0.778624415002237,0,0.00121798072066829,0,0,0,0,0,0.0152034522548065
32,0,0.00671606565638752,0,0.195449610472773,0.0591972927023449,0.695661404855082,0.0103014998753655,0,0,0,0,0.0260152196535359,0,0.00665890678451045
33,0,0,0,0.000564845764481375,0.000760661970773764,0.0719641169394586,0,0.110914356695172,0,0.000923584548249664,0.00732336659792115,0.00412642646835097,2.11810262515545e-05,0.803401459989341
34,0,0,0.0706006634320664,0.017022113282816,0.00184199670411091,0.0860120197740345,0,0.156495279826702,0.0471195567728546,0,0.0358038281724207,0.0222758104690666,0,0.562828731565929
