"Site","Startdate","Enddate","Midpoint","Year","Duration","Method","Sp..Abacoproeces.saltuum","Sp..Acartauchenius.scurrilis","Sp..Aelurillus.v.insignitus","Sp..Agalenatea.redii","Sp..Agelena.labyrinthica","Sp..Agroeca.brunnea","Sp..Agroeca.cuprea","Sp..Agroeca.dentigera","Sp..Agroeca.lusatica","Sp..Agroeca.proxima","Sp..Agyneta.affinis","Sp..Agyneta.conigera","Sp..Agyneta.decora","Sp..Agyneta.fuscipalpa","Sp..Agyneta.innotabilis","Sp..Agyneta.mollis","Sp..Agyneta.ramosa","Sp..Agyneta.rurestris","Sp..Agyneta.saxatilis","Sp..Agyneta.subtilis","Sp..Allagelena.gracilens","Sp..Allomengea.vidua","Sp..Alopecosa.barbipes","Sp..Alopecosa.cuneata","Sp..Alopecosa.fabrilis","Sp..Alopecosa.pulverulenta","Sp..Alopecosa.trabalis","Sp..Amaurobius.fenestralis","Sp..Amaurobius.ferox","Sp..Amaurobius.similis","Sp..Anelosimus.vittatus","Sp..Antistea.elegans","Sp..Anyphaena.accentuata","Sp..Aphileta.misera","Sp..Apostenus.fuscus","Sp..Araeoncus.crassiceps","Sp..Araeoncus.humilis","Sp..Araneus.diadematus","Sp..Araneus.marmoreus","Sp..Araneus.quadratus","Sp..Araneus.sturmi","Sp..Araneus.triguttatus","Sp..Araniella.cucurbitina","Sp..Araniella.opisthographa","Sp..Arctosa.cinerea","Sp..Arctosa.figurata","Sp..Arctosa.leopardus","Sp..Arctosa.lutetiana","Sp..Arctosa.perita","Sp..Argenna.subnigra","UIDN","OIDN","TERRID","NAAM","NISCODE","NUTS2","LENGTE","OPPERVL","geometry"
"TEUT-BODEM-MOL3","2001-04-10","2001-05-02","2001-04-22",2001,23,"Bodemval",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,355,"Limburg","70000","BE22",397732.62,2428024236.56,c(220219.229124905, 190065.141071947)
"FRC-BODEM-10","2018-10-13","2018-10-27","2018-10-21",2018,15,"Bodemval",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,355,"Limburg","70000","BE22",397732.62,2428024236.56,c(241612.591121294, 187400.671386174)
"HAAGDOORN-BODEM-17EB","2020-06-09","2020-06-23","2020-06-17",2020,15,"Bodemval",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,355,"Limburg","70000","BE22",397732.62,2428024236.56,c(221402.056124474, 196005.260003071)
"HOCHTERBAMPD-BODEM-03","1994-07-11","1994-08-28","1994-08-04",1994,49,"Bodemval",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,355,"Limburg","70000","BE22",397732.62,2428024236.56,c(241143.581192228, 167321.742589731)
"STAMPROOIERBROEK-BODEM-30","1991-03-01","1991-04-01","1991-03-17",1991,32,"Bodemval",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,355,"Limburg","70000","BE22",397732.62,2428024236.56,c(234254.35837013, 204179.286315842)
"HOUTHALEN-TUIN-BODEM-04","2005-03-29","2005-04-19","2005-04-09",2005,22,"Bodemval",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,355,"Limburg","70000","BE22",397732.62,2428024236.56,c(216400.882235929, 195211.140503449)
"LANGENBERG-BODEM-01","2017-04-26","2017-05-16","2017-05-06",2017,21,"Bodemval",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,355,"Limburg","70000","BE22",397732.62,2428024236.56,c(233069.417585739, 179855.483982473)
"RECTORAAT-BODEM-03","2019-07-01","2019-07-31","2019-07-17",2019,31,"Bodemval",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,355,"Limburg","70000","BE22",397732.62,2428024236.56,c(212059.220983952, 182949.295215566)
"POLLISMOLEN-BODEM-02","1989-03-11","1989-04-01","1989-03-22",1989,22,"Bodemval",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,355,"Limburg","70000","BE22",397732.62,2428024236.56,c(237046.879882755, 205336.802362899)
"MAASMECHELEN-BODEM-MH01","1987-05-27","1987-06-10","1987-06-04",1987,15,"Bodemval",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,131,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,1,355,"Limburg","70000","BE22",397732.62,2428024236.56,c(234302.545632742, 184287.344869253)
"BERMBRUG-BODEM-02","2020-06-08","2020-06-26","2020-06-18",2020,19,"Bodemval",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,355,"Limburg","70000","BE22",397732.62,2428024236.56,c(235538.145187019, 179477.616447515)
"HAAGDOORN-BODEM-05","1979-04-28","1979-05-16","1979-05-08",1979,19,"Bodemval",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,355,"Limburg","70000","BE22",397732.62,2428024236.56,c(219192.060481608, 189746.319930685)
"HALEN-BODEM-ZWAL1","2020-07-31","2020-09-09","2020-08-20",2020,41,"Bodemval",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,10,1,355,"Limburg","70000","BE22",397732.62,2428024236.56,c(207576.120000637, 186867.863271907)
"WIJNGAARD-BODEM-01","2000-05-12","2000-05-26","2000-05-20",2000,15,"Bodemval",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,355,"Limburg","70000","BE22",397732.62,2428024236.56,c(229073.662679027, 160553.667750687)
"HAAGDOORN-BODEM-15EB","2020-09-29","2020-10-13","2020-10-07",2020,15,"Bodemval",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,355,"Limburg","70000","BE22",397732.62,2428024236.56,c(237676.984501336, 201148.588791439)
"BREE-BODEM-BREB-02","2002-04-25","2002-05-09","2002-05-03",2002,15,"Bodemval",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,355,"Limburg","70000","BE22",397732.62,2428024236.56,c(245023.622751593, 206612.409185766)
"PIJNVEN-BODEM-07","2013-05-01","2013-05-21","2013-05-11",2013,21,"Bodemval",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,355,"Limburg","70000","BE22",397732.62,2428024236.56,c(216346.702563704, 210342.321085339)
"TEUT-BODEM-23M96","2020-06-09","2020-06-23","2020-06-17",2020,15,"Bodemval",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,355,"Limburg","70000","BE22",397732.62,2428024236.56,c(230256.968063386, 204033.255295713)
"FRC-BODEM-04","2020-12-04","2020-12-18","2020-12-12",2020,15,"Bodemval",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,355,"Limburg","70000","BE22",397732.62,2428024236.56,c(236591.468823167, 177156.181386961)
"HAAGDOORN-BODEM-14M93","2020-03-31","2020-04-14","2020-04-08",2020,15,"Bodemval",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,355,"Limburg","70000","BE22",397732.62,2428024236.56,c(233222.818673677, 192434.889080205)
"KIKBEEK-BODEM-07","2009-04-01","2009-04-15","2009-04-09",2009,15,"Bodemval",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,355,"Limburg","70000","BE22",397732.62,2428024236.56,c(237759.071581201, 186811.7639806)
"ABEEK-BODEM-15","2006-07-30","2006-08-13","2006-08-07",2006,15,"Bodemval",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,355,"Limburg","70000","BE22",397732.62,2428024236.56,c(229345.743205538, 207344.397811644)
"ZWB-BODEM-11","2019-04-10","2019-04-30","2019-04-20",2019,21,"Bodemval",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,355,"Limburg","70000","BE22",397732.62,2428024236.56,c(224013.108570817, 202504.134740344)
"APS-BODEM-12","2022-11-12","2023-01-11","2022-12-12",2022,61,"Bodemval",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,355,"Limburg","70000","BE22",397732.62,2428024236.56,c(233729.824345504, 181724.582286874)
"NEERHAREN-BODEM-GHP4","2001-06-12","2001-07-04","2001-06-24",2001,23,"Bodemval",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,10,1,355,"Limburg","70000","BE22",397732.62,2428024236.56,c(231269.921217208, 176373.054568034)
"BALIMHEIDE-BODEM-15","2018-07-05","2018-08-07","2018-07-22",2018,34,"Bodemval",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,355,"Limburg","70000","BE22",397732.62,2428024236.56,c(212366.779387444, 209548.022031066)
"FRC-BODEM-11","2018-06-12","2018-07-03","2018-06-23",2018,22,"Bodemval",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,355,"Limburg","70000","BE22",397732.62,2428024236.56,c(240637.229155174, 195202.448773573)
"BRULLENBOS-BODEM-03","2010-05-01","2010-05-23","2010-05-13",2010,23,"Bodemval",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,355,"Limburg","70000","BE22",397732.62,2428024236.56,c(220973.873208564, 169916.050071851)
"TAPUIT-BODEM-03","2024-03-28","2024-04-27","2024-04-13",2024,31,"Bodemval",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,355,"Limburg","70000","BE22",397732.62,2428024236.56,c(240172.797118025, 191073.604771074)
"ZWB-BODEM-07","2017-07-16","2017-08-04","2017-07-26",2017,20,"Bodemval",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,355,"Limburg","70000","BE22",397732.62,2428024236.56,c(208132.227806354, 194446.83058104)
"WZC-BODEM-03","2019-07-31","2019-08-31","2019-08-16",2019,32,"Bodemval",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,355,"Limburg","70000","BE22",397732.62,2428024236.56,c(216844.499753279, 180696.715443781)
"ABEEK-BODEM-15","2006-03-12","2006-03-26","2006-03-20",2006,15,"Bodemval",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,355,"Limburg","70000","BE22",397732.62,2428024236.56,c(234180.667411661, 201840.990989782)
"HOUTHALEN-BERM-BODEM-62","1999-10-25","1999-12-21","1999-11-23",1999,58,"Bodemval",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,355,"Limburg","70000","BE22",397732.62,2428024236.56,c(227422.441915917, 179157.524210782)
